Sales Month,Primary Platform (Original),Secondary Platform,Store Name,Brand Name,Product Code,Sales Amount,Sales Quantity,Primary Platform
2021-03,天猫,天猫超市,茅台天猫超市,茅台,637755188747,2889.0,4,Tmall
2021-03,天猫,天猫超市,劲酒天猫超市,劲酒,44187583869,996.0,42,Tmall
2021-01,天猫,天猫超市,劲酒天猫超市,劲酒,44187583869,883.0,35,Tmall
2021-02,天猫,天猫超市,劲酒天猫超市,劲酒,44187583869,872.0,35,Tmall
2021-02,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,560139365350,1166.0,12,Tmall
2021-01,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,560139365350,928.0,8,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,560139365350,614.0,6,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,638742278004,2701.0,1,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,585351662474,2534.0,3,Tmall
2021-01,天猫,天猫超市,红星天猫超市,红星,603958312856,836.0,38,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,603958312856,812.0,34,Tmall
2021-02,天猫,天猫超市,红星天猫超市,红星,603958312856,737.0,27,Tmall
2021-03,天猫,天猫超市,西凤天猫超市,西凤,573684076373,2276.0,46,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,635693552643,2033.0,10,Tmall
2021-03,天猫,天猫超市,西凤天猫超市,西凤,599688153407,2011.0,10,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,600771818579,2001.0,12,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,617951145899,1996.0,11,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,602087801912,1305.0,25,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,602087801912,615.0,11,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,637084521617,1892.0,5,Tmall
2021-03,天猫,天猫超市,西凤天猫超市,西凤,601722540954,1886.0,10,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,601779193441,1176.0,37,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,601779193441,702.0,22,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,555759717065,1802.0,11,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,640369418768,1783.0,2,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,602176091488,1371.0,7,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,602176091488,361.0,2,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,530247365980,1152.0,16,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,530247365980,562.0,8,Tmall
2021-01,天猫,天猫超市,红星天猫超市,红星,574155777320,1226.0,48,Tmall
2021-02,天猫,天猫超市,红星天猫超市,红星,574155777320,347.0,12,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,574155777320,126.0,4,Tmall
2021-02,天猫,天猫超市,剑南春天猫超市,剑南春,611377840532,1436.0,8,Tmall
2021-03,天猫,天猫超市,剑南春天猫超市,剑南春,611377840532,239.0,1,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,600770574683,958.0,6,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,600770574683,693.0,4,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,601538248359,1603.0,12,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,601485435489,1392.0,10,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,601485435489,128.0,1,Tmall
2021-01,天猫,天猫超市,习酒天猫超市,习酒,628536542026,1240.0,4,Tmall
2021-02,天猫,天猫超市,习酒天猫超市,习酒,628536542026,236.0,1,Tmall
2021-03,天猫,天猫超市,劲酒天猫超市,劲酒,537498161958,1443.0,27,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,557336677070,1429.0,11,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,538407668762,1390.0,1,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,638043364740,1329.0,1,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,622238575144,1288.0,19,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,617656416115,1251.0,6,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,600773854829,1199.0,11,Tmall
2021-03,天猫,天猫超市,习酒天猫超市,习酒,631142923664,1193.0,40,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,610107853388,1149.0,41,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,611068612740,1063.0,1,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,555724296007,1061.0,1,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,567599741477,637.0,5,Tmall
2021-02,天猫,天猫超市,红星天猫超市,红星,567599741477,311.0,3,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,601435834357,645.0,21,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,601435834357,295.0,10,Tmall
2021-03,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,601537956963,596.0,12,Tmall
2021-01,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,601537956963,330.0,7,Tmall
2021-03,天猫,天猫超市,劲酒天猫超市,劲酒,42027977929,889.0,25,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,600336976081,841.0,33,Tmall
2021-03,天猫,天猫超市,习酒天猫超市,习酒,610957244813,776.0,1,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,630192226209,409.0,7,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,630192226209,366.0,7,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,600854812216,732.0,2,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,600839946776,695.0,12,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,602541187355,661.0,10,Tmall
2021-02,天猫,天猫超市,郎酒天猫超市,郎酒,627025911055,626.0,37,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,627025911055,18.0,1,Tmall
2021-03,天猫,天猫超市,剑南春天猫超市,剑南春,635307872374,641.0,1,Tmall
2021-03,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,602176303970,606.0,9,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,563595179424,595.0,14,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,636702879288,554.0,3,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,555882296265,535.0,14,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,612028294644,529.0,1,Tmall
2021-02,天猫,天猫超市,习酒天猫超市,习酒,611224465593,517.0,1,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,601965685357,376.0,31,Tmall
2021-01,天猫,天猫超市,古井贡天猫超市,古井贡,601965685357,100.0,8,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,636378622170,476.0,2,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,565386933758,475.0,7,Tmall
2021-03,天猫,天猫超市,劲酒天猫超市,劲酒,578329367634,457.0,11,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,632298558266,455.0,1,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,600405108197,409.0,14,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,552568278306,396.0,8,Tmall
2021-03,天猫,天猫超市,泸州老窖天猫超市-久爱,泸州老窖,601779365968,364.0,2,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,534638395682,349.0,10,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,523751545295,327.0,1,Tmall
2021-03,天猫,天猫超市,郎酒天猫超市,郎酒,602541243313,294.0,4,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,611787251026,246.0,1,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,576087012997,208.0,19,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,602092409145,123.0,6,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,576045752679,121.0,11,Tmall
2021-01,天猫,天猫超市,汾酒天猫超市-久爱,汾酒,43540030605,87.0,1,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,602362555609,76.0,3,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,576417347776,57.0,4,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,617581805128,47.0,1,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,601982846504,38.0,2,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,622238263683,31.0,1,Tmall
2021-06,天猫,天猫超市,茅台天猫超市,茅台,533161787579,105862994.0,17095,Tmall
2021-04,天猫,天猫超市,茅台天猫超市,茅台,533161787579,54506366.0,9093,Tmall
2021-05,天猫,天猫超市,茅台天猫超市,茅台,533161787579,17232394.0,2662,Tmall
2021-06,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,12478630.0,5261,Tmall
2021-04,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,8205864.0,3516,Tmall
2021-05,天猫,天猫超市,五粮液天猫超市,五粮液,600933518625,4830275.0,2011,Tmall
2021-06,天猫,天猫超市,茅台天猫超市,茅台,599335106063,21963921.0,5748,Tmall
2021-06,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,13515325.0,8731,Tmall
2021-05,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,1925298.0,1221,Tmall
2021-04,天猫,天猫超市,郎酒天猫超市,郎酒,543748132678,1894124.0,1256,Tmall
2021-06,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,8359409.0,1194,Tmall
2021-05,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,2121250.0,303,Tmall
2021-04,天猫,天猫超市,五粮液天猫超市,五粮液,596760623769,2087288.0,297,Tmall
2021-05,天猫,天猫超市,茅台天猫超市,茅台,611356790413,4649464.0,2845,Tmall
2021-04,天猫,天猫超市,茅台天猫超市,茅台,611356790413,3260519.0,2021,Tmall
2021-06,天猫,天猫超市,茅台天猫超市,茅台,611356790413,3073428.0,1870,Tmall
2021-05,天猫,天猫超市,茅台天猫超市,茅台,619955404475,7060477.0,1722,Tmall
2021-06,天猫,天猫超市,茅台天猫超市,茅台,619955404475,2029991.0,495,Tmall
2021-04,天猫,天猫超市,茅台天猫超市,茅台,619955404475,1021515.0,248,Tmall
